time, out1, out2, out3
1734281610879, , , 
1734281610979, -2.8, -4.0, 
1734281611079, -2.1, , 
1734281611179, 0.3, -5.0, 0.0
1734281611279, 1.7, , 
1734281611379, 3.2, -4.0, 
1734281611479, 4.1, , 
1734281611579, 4.8, -3.0, 
1734281611679, 5.0, , 0.0
1734281611779, 4.7, -2.0, 
1734281611879, 4.0, , 
1734281611979, 2.8, -1.0, 
1734281612079, 1.8, , 
1734281612179, 0.2, 0.0, 5.0
1734281612279, -1.8, , 
1734281612379, -2.8, 1.0, 
1734281612479, -4.2, , 
1734281612579, -4.8, 2.0, 
1734281612679, -5.0, , 5.0
1734281612779, -4.6, 3.0, 
1734281612879, -4.0, , 
1734281612979, -2.7, 4.0, 
1734281613079, -1.2, , 
1734281613179, 0.3, 5.0, 5.0
1734281613279, 1.7, , 
1734281613379, 3.1, 4.0, 
1734281613479, 4.1, , 
1734281613579, 4.8, 3.0, 
1734281613679, 5.0, , 5.0
1734281613779, 4.6, 2.0, 
1734281613879, 4.0, , 
1734281613979, 2.9, , 
1734281614079, 1.4, , 
1734281614179, -0.3, -0.0, 5.0
1734281614279, -1.7, , 
1734281614379, -3.1, -1.0, 
1734281614479, -3.9, , 
1734281614579, -4.5, -2.0, 
1734281614679, -5.0, , 5.0
1734281614779, -4.6, -3.0, 
1734281614879, -4.2, , 
1734281614979, -2.9, -4.0, 
1734281615079, -1.2, , 
1734281615179, 0.3, -5.0, 0.0
1734281615279, 1.7, , 
1734281615379, 2.9, -4.0, 
1734281615479, 4.2, , 
1734281615579, 4.8, -3.0, 
1734281615679, 5.0, , 0.0
1734281615779, 4.8, -2.0, 
1734281615879, 4.3, , 
1734281615979, 2.9, -1.0, 
1734281616079, 1.4, , 
1734281616179, -0.0, 0.0, 0.0
1734281616279, -1.5, , 
1734281616379, -2.9, 1.0, 
1734281616479, -4.0, , 
1734281616579, -4.8, 2.0, 
1734281616679, -5.0, , 0.0
1734281616779, -4.8, 3.0, 
1734281616879, -4.2, , 
1734281616979, -2.8, 4.0, 
1734281617079, -1.4, , 
1734281617179, 0.3, , 0.0
1734281617279, 1.7, , 
1734281617379, 3.2, 4.0, 
1734281617479, 4.0, , 
1734281617579, 4.8, 3.0, 
1734281617679, 5.0, , 0.0
1734281617779, 4.8, 2.0, 
1734281617879, 4.0, , 
1734281617979, 2.8, 1.0, 
1734281618079, 1.2, , 
1734281618179, 0.5, -0.0, 5.0
1734281618279, -1.8, , 
1734281618379, -3.2, -1.0, 
1734281618479, -4.2, , 
1734281618579, -4.7, -2.0, 
1734281618679, -5.0, , 5.0
1734281618779, -4.8, -3.0, 
1734281618879, -3.9, , 
1734281618979, -2.8, -4.0, 
1734281619079, -1.2, , 
1734281619179, 0.3, -5.0, 5.0
1734281619279, 1.2, , 
1734281619379, 3.2, -4.0, 
1734281619479, 4.2, , 
1734281619579, 4.8, , 
1734281619679, 5.0, , 5.0
1734281619779, 4.6, -2.0, 
1734281619879, 3.9, , 
1734281619979, 2.8, -1.0, 
1734281620079, 1.5, , 
1734281620179, -0.3, 0.0, 5.0
1734281620279, -1.8, , 
1734281620379, -3.2, 1.0, 
1734281620479, -4.1, , 
1734281620579, -4.7, 2.0, 
1734281620679, -5.0, , 5.0
1734281620779, -4.7, 3.0, 
1734281620879, -3.9, , 
1734281620979, -2.9, 4.0, 
1734281621079, -1.8, , 
1734281621179, 0.3, 5.0, 5.0
1734281621279, 1.4, , 
1734281621379, 3.2, 4.0, 
1734281621479, 4.0, , 
1734281621579, 4.8, 3.0, 
1734281621679, 5.0, , 5.0
1734281621779, 4.6, 2.0, 
1734281621879, 3.9, , 
1734281621979, 2.9, 1.0, 
1734281622079, 1.5, , 
1734281622179, -0.2, -0.0, 5.0
1734281622279, -1.7, , 
1734281622379, -3.2, -1.0, 
1734281622479, -4.2, , 
1734281622579, -4.8, -2.0, 
1734281622679, -5.0, , 5.0
1734281622779, -4.7, -3.0, 
1734281622879, -3.9, , 
1734281622979, -2.8, -4.0, 
1734281623079, -1.5, , 
1734281623179, 0.3, -5.0, 0.0
1734281623279, 1.4, , 
1734281623379, 3.2, -4.0, 
1734281623479, 4.2, , 
1734281623579, 4.8, -3.0, 
1734281623679, 5.0, , 0.0
1734281623779, 4.7, -2.0, 
1734281623879, 3.9, , 
1734281623979, 2.7, -1.0, 
1734281624079, 1.5, , 
1734281624179, -0.0, 0.0, 5.0
1734281624279, -1.7, , 
1734281624379, -3.1, 1.0, 
1734281624479, -3.5, , 
1734281624579, -4.8, , 
1734281624679, -5.0, , 5.0
1734281624779, -4.8, 3.0, 
1734281624879, -3.9, , 
1734281624979, -2.7, 4.0, 
1734281625079, -1.2, , 
1734281625179, 0.2, 5.0, 5.0
1734281625279, 1.4, , 
1734281625379, 2.5, 4.0, 
1734281625479, 4.1, , 
1734281625579, 4.8, 3.0, 
1734281625679, 5.0, , 5.0
1734281625779, 4.7, 2.0, 
1734281625879, 4.0, , 
1734281625979, 2.7, 1.0, 
1734281626079, 1.2, , 
1734281626179, , -0.0, 5.0
1734281626279, -1.7, , 
1734281626379, -2.8, -1.0, 
1734281626479, -4.2, , 
1734281626579, -4.8, -2.0, 
1734281626679, -5.0, , 5.0
1734281626779, -4.7, -3.0, 
1734281626879, -4.0, , 
1734281626979, -2.9, -4.0, 
1734281627079, -1.2, , 
1734281627179, 0.0, -5.0, 0.0
1734281627279, 1.7, , 
1734281627379, 3.1, -4.0, 
1734281627479, 4.2, , 
1734281627579, 4.8, -3.0, 
1734281627679, 5.0, , 0.0
1734281627779, 5.0, -2.0, 
1734281627879, 3.9, , 
1734281627979, 3.2, -1.0, 
1734281628079, 1.5, , 
1734281628179, -0.0, 0.0, 0.0
1734281628279, -1.1, , 
1734281628379, , 1.0, 
1734281628479, , , 
1734281628579, -4.8, 2.0, 
1734281628679, -5.0, , 0.0
1734281628779, -4.8, , 
^CSignal received: 2
